lon,lat
-121.812771,36.692474
-121.814531,36.689834
-121.814531,36.68602
-121.815118,36.684553
-121.815118,36.683673
-121.815998,36.682206
-121.815998,36.68074
-121.816878,36.679273
-121.817171,36.6781
-121.817758,36.677219
-121.818051,36.676339
-121.818638,36.675459
-121.818638,36.675166
-121.819518,36.673699
-121.819811,36.672232
-121.820985,36.670766
-121.821278,36.669299
-121.821865,36.667832
-121.822158,36.666365
-121.822745,36.665192
-121.822745,36.664312
-121.823331,36.663432
-121.823625,36.662552
-121.824212,36.661672
-121.824505,36.660205
-121.825385,36.658151
-121.825972,36.657271
-121.826558,36.655805
-121.827732,36.654925
-121.828025,36.653751
-121.829492,36.652284
-121.829785,36.651404
-121.830372,36.650524
-121.830372,36.649937
-121.831545,36.647884
-121.833599,36.646124
-121.834479,36.64495
-121.834772,36.643777
-121.837119,36.641724
-121.837119,36.64055
-121.837706,36.639963
-121.839173,36.63879
-121.839466,36.63791
-121.839466,36.637617
-121.842693,36.634096
-121.842693,36.633216
-121.843573,36.632336
-121.843866,36.631163
-121.846213,36.628816
-121.8468,36.627643
-121.84768,36.626469
-121.847973,36.625589
-121.858534,36.615028
-121.858827,36.613855
-121.860001,36.612388
-121.861174,36.612388
-121.862054,36.611508
-121.863228,36.611215
-121.864401,36.610041
-121.865868,36.609455
-121.866748,36.608575
-121.867921,36.608281
-121.868508,36.607401
-121.869681,36.607108
-121.870855,36.605934
-121.872028,36.605641
-121.872908,36.605054
-121.873495,36.604761
-121.874668,36.604174
-121.877015,36.604174
-121.877602,36.603294
-121.881709,36.603294
-121.883176,36.602414
-121.886403,36.602414
-121.888163,36.602414
-121.88963,36.603294
-121.890216,36.603881
-121.891683,36.604761
-121.892563,36.605641
-121.892856,36.605934
-121.892856,36.606814
-121.892563,36.609455
-121.892856,36.610335
-121.89315,36.610628
-121.894617,36.611215
-121.894323,36.611801
-121.895497,36.612681
-121.895497,36.613562
-121.897257,36.617082
-121.900777,36.620895
-121.901364,36.622069
-121.902537,36.623242
-121.903124,36.623536
-121.907818,36.623536
-121.908698,36.624122
-121.909284,36.624122
-121.910164,36.625002
-121.912805,36.625002
-121.913098,36.625589
-121.913391,36.625882
-121.913098,36.626469
-121.913098,36.627056
-121.913978,36.628816
-121.914565,36.629403
-121.915445,36.629989
-121.915738,36.629989
-121.916912,36.629989
-121.918085,36.630869
-121.918672,36.630869
-121.918672,36.63175
-121.920138,36.633216
-121.920725,36.633216
-121.921605,36.634683
-121.922779,36.63527
-121.924539,36.636737
-121.925125,36.636737
-121.926299,36.637617
-121.927766,36.637617
-121.928646,36.638203
-121.932459,36.638497
-121.934219,36.638497
-121.934806,36.63879
-121.935393,36.639083
-121.936273,36.638497
